,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,상대팀,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점
0,0,1,IBK기업은행,0,89,69,179,51,15,10,0.28,88,17,9,6,0.19,17,9,2,2,0.53,7,2,1,0,0.29,21,1,2,0,0.05,7,1,0,1,0.14,39,21,1,1,0.54,95,7,10,0.07,119,102,17,0,20.9,188,51,3,11.25,99,40,5,7.0,94,11,37,30,2,2.25,8,0,25,1,흥국생명,3,0.86,0.27,0.4,0.12,96,108
1,1,1,흥국생명,1,127,83,193,63,11,15,0.33,106,27,7,7,0.25,9,6,0,0,0.67,9,2,1,1,0.22,49,21,2,6,0.43,10,3,1,0,0.3,10,4,0,1,0.4,109,5,10,0.05,145,125,20,0,28.09,195,61,2,12.33,85,43,7,8.55,72,15,38,12,0,3.3,10,0,27,0,IBK기업은행,1,0.86,0.31,0.51,0.21,108,96
2,2,2,KGC인삼공사,0,94,79,205,67,20,7,0.33,119,37,14,2,0.31,4,1,0,0,0.25,4,1,0,0,0.25,40,16,2,4,0.4,6,1,0,0,0.17,32,11,4,1,0.34,108,5,4,0.05,146,118,28,0,24.25,209,63,1,12.6,103,49,5,8.85,78,7,31,22,2,1.4000000000000001,5,0,14,1,현대건설,4,0.81,0.3,0.48,0.09,108,116
3,3,2,현대건설,1,102,102,198,77,7,12,0.39,92,31,3,6,0.34,28,9,0,1,0.32,0,0,0,0,,33,16,2,3,0.48,16,9,1,2,0.56,29,12,1,0,0.41,116,5,13,0.04,132,117,15,0,23.4,207,75,1,15.0,104,47,5,8.4,105,20,33,30,3,4.0,17,0,29,0,KGC인삼공사,5,0.89,0.36,0.45,0.19,116,108
4,4,3,GS칼텍스,1,138,88,175,72,9,9,0.41,71,27,4,3,0.38,7,3,0,0,0.43,1,0,0,0,0.0,19,8,0,2,0.42,25,12,4,0,0.48,52,22,1,4,0.42,109,9,11,0.08,113,95,16,2,20.3,180,68,3,14.75,97,43,7,7.200000000000001,72,7,28,25,0,1.45,6,0,25,0,한국도로공사,0,0.84,0.38,0.44,0.1,110,107
5,5,3,한국도로공사,0,110,82,156,66,7,8,0.42,92,39,3,3,0.42,10,4,0,1,0.4,6,3,0,0,0.5,5,1,0,2,0.2,13,9,0,0,0.69,30,10,4,2,0.33,108,7,11,0.06,112,90,22,0,18.0,162,61,2,12.2,98,38,9,6.0,76,9,33,19,1,1.8,6,0,22,1,GS칼텍스,2,0.8,0.38,0.39,0.12,107,110
6,6,4,IBK기업은행,0,104,80,178,66,14,6,0.37,86,26,8,2,0.3,13,3,0,1,0.23,10,4,1,1,0.4,27,13,3,0,0.48,8,5,0,1,0.62,34,15,2,1,0.44,101,7,8,0.07,129,109,20,0,23.25,188,62,5,13.6,96,51,3,9.6,67,7,33,18,0,1.4,7,0,19,1,현대건설,3,0.84,0.33,0.53,0.1,101,105
7,7,4,현대건설,1,102,86,169,69,7,8,0.41,68,22,4,5,0.32,16,6,0,1,0.38,0,0,0,0,,30,14,1,0,0.47,19,13,0,0,0.68,36,14,2,2,0.39,105,3,9,0.03,110,96,13,1,19.3,177,65,2,13.0,93,40,7,6.8,99,14,32,33,1,2.8,12,0,21,0,IBK기업은행,5,0.87,0.37,0.43,0.14,105,101
8,8,5,KGC인삼공사,0,78,68,166,55,11,14,0.33,71,17,6,4,0.24,8,2,0,2,0.25,1,0,0,0,0.0,33,12,3,5,0.36,18,9,1,0,0.5,35,15,1,3,0.43,97,3,5,0.03,102,90,12,0,18.8,169,51,2,10.33,94,38,8,6.2,88,10,30,31,0,2.0,7,0,21,0,흥국생명,4,0.88,0.3,0.4,0.11,96,108
9,9,5,흥국생명,1,126,87,173,68,10,12,0.39,85,29,5,9,0.34,7,3,1,0,0.43,10,5,0,0,0.5,30,16,0,1,0.53,12,3,2,1,0.25,29,12,2,1,0.41,107,8,13,0.07,113,100,13,0,25.12,181,66,2,15.729999999999999,92,34,3,6.6000000000000005,63,11,23,18,1,2.33,10,0,28,1,KGC인삼공사,1,0.88,0.36,0.37,0.17,108,96
