,시즌,팀명,이름,포지션,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,디그_성공률,세트_성공률,리시브_정확률,블로킹_성공률
0,17-18,KB손해보험,강영준,R,0,10.444444444444445,18.666666666666668,8.777777777777779,2.2222222222222223,2.0,48.56111111111111,19.61111111111111,6.222222222222222,2.111111111111111,0.7777777777777778,0.6666666666666666,36.66222222222222,17.952222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,9.258888888888889,0.0,0.0,0.0,0.0,0.0,0.0,7.888888888888889,4.111111111111111,0.6666666666666666,1.1111111111111112,55.00555555555556,31.989999999999995,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,2.5555555555555554,0.6666666666666666,0.2222222222222222,56.36888888888889,17.939999999999998,8.11111111111111,1.1111111111111112,2.888888888888889,0.3222222222222222,9.784444444444444,3.4444444444444446,2.2222222222222223,1.2222222222222223,0.0,0.6555555555555556,8.046666666666665,1.5555555555555556,0.1111111111111111,0.0,0.027777777777777776,1.6855555555555555,1.2222222222222223,0.3333333333333333,0.0,4.762222222222222,1.9099999999999997,3.3333333333333335,0.5555555555555556,0.4444444444444444,2.111111111111111,0.0,0.1511111111111111,7.834444444444445,0.3333333333333333,0.0,4.888888888888889,53.17460317460317,6.25,10.714285714285714,14.814814814814813
1,17-18,KB손해보험,강영준,R,1,11.666666666666666,19.666666666666668,9.666666666666666,3.1666666666666665,2.1666666666666665,49.028333333333336,18.015,7.666666666666667,3.0,1.8333333333333333,0.8333333333333334,42.01833333333334,15.823333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,4.0,0.8333333333333334,1.0,50.89333333333334,31.155,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,2.6666666666666665,0.5,0.3333333333333333,67.30166666666666,17.713333333333335,10.833333333333334,1.0,3.0,0.26833333333333337,10.71,5.666666666666667,4.333333333333333,1.3333333333333333,0.0,1.1783333333333335,10.99,1.5,0.16666666666666666,0.0,0.055,1.25,2.8333333333333335,0.8333333333333334,0.16666666666666666,15.555,3.605,5.833333333333333,1.0,0.6666666666666666,2.6666666666666665,0.16666666666666666,0.32,9.886666666666667,0.3333333333333333,0.0,5.333333333333333,72.68518518518518,25.0,22.666666666666664,30.873015873015873
2,17-18,KB손해보험,곽동혁,Li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.8125,2.1875,0.0,1.69375,19.803125,3.875,1.125,0.0625,0.26,3.75875,15.375,6.6875,0.9375,15.07875,19.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,74.13444194694195,26.741071428571427,42.010111960479605,0.0
3,17-18,KB손해보험,곽동혁,Li,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.5,1.5,0.0,2.052222222222222,20.077222222222222,4.388888888888889,1.6111111111111112,0.05555555555555555,0.4316666666666667,4.315,17.166666666666668,8.0,1.0,19.753888888888888,23.83833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,85.31406093906094,39.2063492063492,46.3909378041215,0.0
4,17-18,KB손해보험,김진만,L,0,9.0,14.0,8.0,0.0,1.0,57.14,19.44,5.0,4.0,0.0,0.0,80.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,45.45,10.0,0.0,0.0,0.0,16.13,5.0,4.0,1.0,0.0,1.33,13.16,4.0,1.0,1.0,0.33,4.82,7.0,2.0,2.0,0.0,11.11,4.0,1.0,1.0,1.0,0.0,0.33,11.76,0.0,0.0,2.0,80.0,25.0,28.57142857142857,25.0
5,17-18,KB손해보험,김홍정,C,0,1.3333333333333333,2.3333333333333335,1.0,0.0,0.3333333333333333,66.66666666666667,1.99,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.0,0.0,66.66666666666667,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0,0.0,0.0,6.776666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.22,1.6233333333333333,1.0,0.0,0.0,0.0,0.8366666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4066666666666667,4.666666666666667,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,0.11,8.226666666666667,1.6666666666666667,0.0,0.3333333333333333,66.66666666666667,0.0,0.0,5.5555555555555545
6,17-18,KB손해보험,김홍정,C,1,2.0,1.5,1.0,0.5,0.0,33.335,2.085,0.5,0.0,0.5,0.0,0.0,1.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.33,13.73,0.5,0.5,0.0,0.0,0.165,1.0,1.5,0.0,0.5,0.0,1.975,0.0,0.0,0.0,0.0,0.0,6.5,0.0,2.5,3.5,0.0,0.0,16.28,2.5,0.0,1.5,100.0,0.0,0.0,0.0
7,17-18,KB손해보험,박광희,L,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.25,0.375,0.05625,5.62375,0.625,0.5,0.125,0.0,0.11875,1.2025000000000001,0.125,0.0,0.0,0.0,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.375,66.66666666666667,0.0,0.0,0.0
8,17-18,KB손해보험,박광희,L,1,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,0.08333333333333333,0.5,0.0275,4.8025,0.3333333333333333,0.25,0.08333333333333333,0.0,0.05833333333333333,0.6375000000000001,0.16666666666666666,0.0,0.0,0.0,0.17166666666666666,0.08333333333333333,0.0,0.0,0.0,0.13916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,75.0,0.0,0.0,0.0
9,17-18,KB손해보험,백계중,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
