index,경기번호,경기날짜,팀명,홈_어웨이,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,득점점유율,스타팅멤버,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점,상대팀
0,1,2017-10-14,대한항공,0,0,65,105,55,10,8,0.52,32,15,3,1,0.47,3,2,0,0,0.67,0,0,0,0,0.0,22,12,1,5,0.55,18,12,1,2,0.67,30,14,5,0,0.47,88,6,22,0.07,54,39,13,2,10.25,97,50,1,12.5,77,43,4,9.75,41,4,9,17,1,1.16,3,0,34,0.9999999999999998,6,0,0.72,0.52,0.56,0.1,100,104,현대캐피탈
1,1,2017-10-14,현대캐피탈,1,1,68,94,54,4,4,0.57,27,13,1,3,0.48,5,4,0,0,0.8,0,0,0,0,0.0,21,12,2,1,0.57,14,7,1,0,0.5,27,18,0,0,0.67,99,4,20,0.04,57,40,17,0,10.0,96,49,2,12.25,67,33,6,6.75,47,10,10,17,2,2.5,7,0,28,0.9999999999999998,6,1,0.7,0.51,0.49,0.21,104,100,대한항공
2,2,2017-10-15,KB손해보험,1,1,76,116,61,14,11,0.53,40,20,4,2,0.5,5,2,1,1,0.4,0,0,0,0,0.0,34,13,6,5,0.38,9,6,0,0,0.67,28,20,3,3,0.71,103,10,24,0.1,46,37,9,0,7.45,112,58,0,11.6,83,40,3,7.53,49,5,11,26,0,1.05,5,0,35,0.9999999999999998,6,2,0.8,0.52,0.48,0.1,106,103,삼성화재
3,2,2017-10-15,삼성화재,0,0,68,90,51,5,6,0.57,43,19,1,5,0.44,1,1,0,0,1.0,0,0,0,0,0.0,19,15,1,0,0.79,13,7,1,1,0.54,14,9,2,0,0.64,103,3,20,0.03,42,29,13,0,6.07,93,50,1,10.15,81,33,10,5.67,63,14,9,28,2,2.8,10,0,29,1.0,6,3,0.69,0.54,0.41,0.22,103,106,KB손해보험
4,3,2017-10-17,OK저축은행,1,1,78,105,57,5,15,0.54,40,22,1,5,0.55,4,2,0,0,0.5,2,0,0,1,0.0,25,14,3,4,0.56,12,8,1,1,0.67,22,11,0,4,0.5,100,6,19,0.06,48,37,11,0,7.73,93,47,0,9.4,85,44,9,8.2,63,15,20,20,1,3.0500000000000003,15,0,35,0.9999999999999998,6,4,0.77,0.51,0.52,0.24,105,101,한국전력
5,3,2017-10-17,한국전력,0,0,63,110,49,16,5,0.45,53,20,11,4,0.38,0,0,0,0,0.0,0,0,0,0,0.0,21,10,1,1,0.48,12,5,1,0,0.42,24,14,3,0,0.58,98,9,15,0.09,60,43,17,0,9.0,114,48,4,9.8,84,43,6,7.95,45,5,15,23,1,1.0,2,0,25,0.9999999999999998,6,5,0.72,0.42,0.51,0.11,101,105,OK저축은행
6,4,2017-10-18,KB손해보험,1,1,50,63,33,6,5,0.52,28,13,5,2,0.46,0,0,0,0,0.0,0,0,0,0,0.0,17,8,1,3,0.47,10,8,0,0,0.8,8,4,0,0,0.5,70,8,11,0.11,43,38,5,0,12.65,73,35,1,11.66,44,20,2,6.0,37,9,12,9,1,2.99,4,0,18,1.0,4,2,0.88,0.48,0.45,0.24,81,61,현대캐피탈
7,4,2017-10-18,현대캐피탈,0,0,34,71,25,9,5,0.35,28,6,5,2,0.21,1,1,0,0,1.0,0,0,0,0,0.0,12,7,0,2,0.58,14,6,0,1,0.43,16,5,4,0,0.31,54,2,14,0.04,31,23,8,0,7.67,78,28,1,9.33,44,18,8,3.33,36,7,4,18,1,2.33,6,0,21,1.0,6,1,0.74,0.36,0.41,0.19,61,81,KB손해보험
8,5,2017-10-19,대한항공,1,1,75,105,56,2,6,0.53,36,19,1,3,0.53,6,3,0,0,0.5,0,0,0,0,0.0,25,9,0,3,0.36,10,7,1,0,0.7,28,18,0,0,0.64,93,8,12,0.09,65,45,20,0,11.25,100,51,0,12.75,62,35,2,8.25,48,11,12,17,0,2.75,10,0,18,1.0,6,0,0.69,0.51,0.56,0.23,97,76,우리카드
9,5,2017-10-19,우리카드,0,0,52,95,47,8,6,0.49,38,14,6,2,0.37,1,1,0,0,1.0,0,0,0,0,0.0,18,11,2,2,0.61,17,6,0,2,0.35,21,15,0,0,0.71,68,3,11,0.04,54,42,12,0,11.5,114,52,1,13.08,73,26,7,4.99,41,2,14,18,1,0.5800000000000001,0,0,19,0.9999999999999996,4,6,0.78,0.46,0.36,0.05,76,97,대한항공
10,6,2017-10-20,OK저축은행,0,1,64,97,45,10,6,0.46,36,14,4,5,0.39,7,5,1,0,0.71,0,0,0,0,0.0,21,5,2,1,0.24,11,6,2,0,0.55,22,15,1,0,0.68,85,8,14,0.09,42,35,7,0,8.75,93,41,0,10.25,63,36,4,8.0,50,11,17,17,0,2.75,9,0,20,1.0,5,4,0.83,0.44,0.57,0.22,95,86,삼성화재
11,6,2017-10-20,삼성화재,1,0,53,87,39,11,8,0.45,29,8,6,2,0.28,2,2,0,0,1.0,0,0,0,0,0.0,24,11,4,3,0.46,16,8,0,0,0.5,16,10,1,3,0.62,81,4,19,0.05,45,38,7,0,9.5,98,44,0,11.0,74,39,8,7.75,57,10,18,23,1,2.5,5,0,28,0.9999999999999998,6,3,0.84,0.45,0.53,0.18,86,95,OK저축은행
12,7,2017-10-21,KB손해보험,1,0,59,105,46,12,7,0.44,44,16,4,6,0.36,0,0,0,0,0.0,0,0,0,0,0.0,24,11,5,0,0.46,8,4,0,0,0.5,29,15,3,1,0.52,80,6,11,0.08,63,51,11,1,13.24,116,48,1,12.08,75,37,9,7.67,64,7,24,22,1,1.83,7,0,21,0.9999999999999996,5,2,0.81,0.41,0.49,0.11,84,95,한국전력
13,7,2017-10-21,한국전력,0,1,72,111,50,7,6,0.45,57,20,6,2,0.35,2,0,0,1,0.0,1,1,0,0,1.0,17,10,1,0,0.59,12,6,0,1,0.5,22,13,0,2,0.59,94,9,12,0.1,64,50,14,0,12.67,110,47,2,11.75,72,41,6,9.83,55,13,8,21,2,3.25,9,0,22,0.9999999999999996,6,5,0.78,0.43,0.57,0.24,95,84,KB손해보험
14,8,2017-10-22,우리카드,1,0,61,97,51,8,7,0.53,30,15,3,3,0.5,2,1,0,0,0.5,0,0,0,0,0.0,20,11,1,1,0.55,12,7,1,1,0.58,33,17,3,2,0.52,91,3,19,0.03,50,39,10,1,9.75,111,51,5,12.75,77,46,3,11.08,54,7,17,20,0,1.75,4,1,33,0.9999999999999998,6,6,0.78,0.46,0.6,0.13,95,100,현대캐피탈
15,8,2017-10-22,현대캐피탈,0,1,59,102,47,7,10,0.46,36,14,3,3,0.39,2,1,1,0,0.5,0,0,0,0,0.0,18,10,1,3,0.56,12,2,1,3,0.17,34,20,1,1,0.59,96,4,13,0.04,52,37,15,0,9.66,107,46,1,12.33,70,38,4,8.75,56,8,16,22,3,2.0,7,1,28,1.0,6,1,0.71,0.43,0.54,0.14,100,95,우리카드
16,9,2017-10-24,OK저축은행,1,0,67,104,54,5,9,0.52,36,14,1,4,0.39,10,6,1,1,0.6,2,2,0,0,1.0,23,15,0,1,0.65,16,9,1,1,0.56,17,8,2,2,0.47,87,5,18,0.06,50,36,14,0,9.41,105,52,0,13.0,79,41,4,9.25,39,8,7,17,1,2.0,3,0,28,0.9999999999999998,6,4,0.72,0.5,0.52,0.21,92,97,대한항공
17,9,2017-10-24,대한항공,0,1,67,101,57,8,6,0.56,31,12,2,4,0.39,5,3,0,0,0.6,0,0,0,0,0.0,19,11,2,2,0.58,17,12,1,0,0.71,29,19,3,0,0.66,95,5,15,0.05,54,40,14,0,11.08,96,54,1,13.5,73,38,5,8.84,48,5,18,17,2,1.25,3,0,24,1.0,6,0,0.74,0.56,0.52,0.1,97,92,OK저축은행
18,10,2017-10-25,삼성화재,0,1,86,110,68,12,8,0.62,48,26,7,5,0.54,3,3,0,0,1.0,0,0,0,0,0.0,26,19,3,1,0.73,13,8,0,0,0.62,20,12,2,2,0.6,112,7,16,0.06,45,32,12,1,6.4,108,63,1,12.6,89,47,5,8.53,61,11,13,29,0,2.2,9,0,26,0.9999999999999996,6,3,0.71,0.58,0.53,0.18,113,107,우리카드
19,10,2017-10-25,우리카드,1,0,80,107,63,9,5,0.59,30,12,3,1,0.4,4,4,0,0,1.0,2,0,0,0,0.0,27,18,2,2,0.67,20,10,2,1,0.5,24,19,2,1,0.79,105,5,17,0.05,41,29,11,1,5.85,107,60,0,12.0,90,51,6,9.05,53,12,11,25,1,2.68,10,0,24,1.0,6,6,0.71,0.56,0.57,0.23,107,113,삼성화재
20,11,2017-10-26,한국전력,1,1,57,81,42,5,3,0.52,34,15,2,2,0.44,3,2,0,0,0.67,0,0,0,0,0.0,19,7,2,1,0.37,7,4,0,0,0.57,18,14,1,0,0.78,73,4,13,0.05,36,31,3,2,10.32,82,38,1,12.67,57,34,1,11.01,38,11,9,11,2,3.66,8,0,21,0.9999999999999998,6,5,0.86,0.46,0.6,0.29,75,64,현대캐피탈
