,index,팀명,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯
0,0,IBK기업은행,19.267549668874175,0.8300132450331126,0.3789536423841057,0.37313907284768194,0.12431788079470193,0.3471920529801325,0.04948344370860923
0,1,흥국생명,18.21052631578947,0.8357894736842097,0.39214473684210516,0.36635526315789485,0.12565789473684214,0.3394210526315792,0.04840789473684206
0,2,KGC인삼공사,18.5063829787234,0.8281560283687944,0.4017730496453901,0.36534751773049645,0.12327659574468089,0.33215602836879426,0.04426950354609926
0,3,현대건설,19.71862068965517,0.837448275862068,0.39794482758620703,0.3927310344827587,0.14015172413793106,0.35867586206896535,0.05056551724137925
0,4,GS칼텍스,18.908108108108095,0.8356081081081077,0.41941891891891875,0.4066621621621623,0.1364459459459459,0.37648648648648636,0.05309459459459454
0,5,한국도로공사,18.589403973509924,0.8458807947019862,0.4760794701986754,0.3758675496688745,0.13441059602649003,0.3486490066225163,0.04634437086092711
1,6,IBK기업은행,19.26754966887417,0.8300132450331126,0.3789536423841057,0.37313907284768194,0.12431788079470193,0.3471920529801325,0.04948344370860923
1,7,현대건설,19.71862068965517,0.8374482758620679,0.397944827586207,0.3927310344827587,0.14015172413793103,0.3586758620689654,0.050565517241379254
1,8,KGC인삼공사,18.506382978723405,0.8281560283687942,0.40177304964539007,0.36534751773049645,0.12327659574468089,0.3321560283687942,0.044269503546099265
1,9,흥국생명,18.210526315789465,0.8357894736842096,0.39214473684210516,0.36635526315789485,0.12565789473684214,0.3394210526315792,0.048407894736842066
2,10,IBK기업은행,19.26754966887417,0.8300132450331126,0.3789536423841058,0.3731390728476819,0.12431788079470193,0.3471920529801325,0.04948344370860922
1,11,한국도로공사,18.589403973509924,0.8458807947019862,0.47607947019867547,0.3758675496688745,0.13441059602649005,0.3486490066225163,0.04634437086092711
1,12,GS칼텍스,18.908108108108095,0.8356081081081077,0.41941891891891875,0.40666216216216233,0.1364459459459459,0.3764864864864864,0.05309459459459454
2,13,KGC인삼공사,18.5063829787234,0.8281560283687942,0.40177304964539007,0.36534751773049645,0.12327659574468089,0.3321560283687942,0.04426950354609926
2,14,현대건설,19.71862068965517,0.837448275862068,0.397944827586207,0.39273103448275876,0.14015172413793106,0.35867586206896535,0.05056551724137925
2,15,흥국생명,18.210526315789465,0.8357894736842097,0.3921447368421051,0.3663552631578949,0.12565789473684214,0.3394210526315792,0.04840789473684206
2,16,GS칼텍스,18.90810810810809,0.8356081081081077,0.4194189189189188,0.4066621621621623,0.1364459459459459,0.3764864864864864,0.05309459459459454
3,17,현대건설,19.718620689655168,0.837448275862068,0.3979448275862069,0.3927310344827587,0.14015172413793103,0.35867586206896535,0.05056551724137925
3,18,KGC인삼공사,18.5063829787234,0.8281560283687942,0.4017730496453901,0.3653475177304964,0.12327659574468086,0.33215602836879415,0.044269503546099265
2,19,한국도로공사,18.589403973509924,0.8458807947019861,0.47607947019867564,0.3758675496688745,0.13441059602649005,0.3486490066225163,0.04634437086092712
3,20,GS칼텍스,18.90810810810809,0.8356081081081077,0.4194189189189188,0.4066621621621623,0.1364459459459459,0.3764864864864864,0.053094594594594535
3,21,IBK기업은행,19.267549668874175,0.8300132450331124,0.3789536423841058,0.37313907284768194,0.12431788079470193,0.34719205298013256,0.04948344370860922
3,22,한국도로공사,18.589403973509924,0.8458807947019861,0.4760794701986755,0.3758675496688744,0.13441059602649005,0.3486490066225163,0.04634437086092711
3,23,흥국생명,18.210526315789465,0.8357894736842097,0.3921447368421051,0.36635526315789485,0.12565789473684214,0.3394210526315792,0.048407894736842066
4,24,GS칼텍스,18.908108108108095,0.8356081081081076,0.4194189189189188,0.4066621621621622,0.1364459459459459,0.3764864864864864,0.05309459459459453
4,25,흥국생명,18.210526315789465,0.8357894736842096,0.39214473684210505,0.36635526315789485,0.12565789473684214,0.3394210526315792,0.048407894736842066
4,26,한국도로공사,18.589403973509924,0.845880794701986,0.47607947019867547,0.37586754966887437,0.13441059602649008,0.3486490066225163,0.04634437086092712
4,27,현대건설,19.718620689655168,0.837448275862068,0.397944827586207,0.3927310344827587,0.14015172413793106,0.35867586206896535,0.05056551724137925
4,28,IBK기업은행,19.26754966887417,0.8300132450331125,0.3789536423841058,0.373139072847682,0.12431788079470195,0.3471920529801326,0.04948344370860922
4,29,KGC인삼공사,18.5063829787234,0.8281560283687942,0.40177304964539007,0.36534751773049645,0.12327659574468083,0.33215602836879415,0.044269503546099265
5,30,GS칼텍스,24.4,0.826,0.4539999999999999,0.402,0.12,0.378,0.066
5,31,현대건설,19.0,0.8640000000000001,0.458,0.41200000000000003,0.17200000000000001,0.374,0.05800000000000001
5,32,한국도로공사,20.8,0.866,0.47000000000000003,0.38,0.16399999999999998,0.346,0.06
5,33,흥국생명,23.0,0.844,0.422,0.33799999999999997,0.144,0.30599999999999994,0.044000000000000004
5,34,IBK기업은행,18.0,0.85,0.44400000000000006,0.374,0.122,0.34600000000000003,0.06
5,35,KGC인삼공사,18.4,0.842,0.43600000000000005,0.364,0.152,0.334,0.036000000000000004
6,36,GS칼텍스,23.0,0.8240000000000001,0.454,0.39799999999999996,0.13599999999999998,0.376,0.05600000000000001
6,37,흥국생명,22.0,0.836,0.41000000000000003,0.344,0.126,0.308,0.042
6,38,한국도로공사,19.6,0.8799999999999999,0.508,0.372,0.18000000000000002,0.34199999999999997,0.05
6,39,현대건설,17.2,0.8480000000000001,0.4720000000000001,0.41,0.164,0.372,0.057999999999999996
6,40,KGC인삼공사,18.6,0.8380000000000001,0.40199999999999997,0.35,0.16599999999999998,0.324,0.032
7,41,흥국생명,19.2,0.834,0.42400000000000004,0.34199999999999997,0.10200000000000001,0.308,0.046
7,42,GS칼텍스,22.2,0.8300000000000001,0.466,0.392,0.148,0.368,0.038
6,43,IBK기업은행,16.0,0.8639999999999999,0.45200000000000007,0.394,0.124,0.362,0.068
7,44,KGC인삼공사,16.2,0.836,0.406,0.362,0.17800000000000002,0.34,0.048
7,45,한국도로공사,18.4,0.868,0.516,0.384,0.16399999999999998,0.354,0.038000000000000006
7,46,현대건설,16.2,0.8240000000000001,0.48600000000000004,0.42800000000000005,0.194,0.39,0.068
8,47,흥국생명,20.2,0.8160000000000001,0.422,0.344,0.092,0.31799999999999995,0.05
8,48,GS칼텍스,21.8,0.826,0.45,0.41000000000000003,0.132,0.388,0.03
8,49,한국도로공사,17.4,0.866,0.518,0.372,0.162,0.348,0.044000000000000004
